PVN-Spannung	Klystron-Spannung	Klystron-Strom	Klystron-Stom(500 Ohm)
-0.00025394579108333046	-0.56174918706225	-0.000449531746955	-0.0003174450683052381
0.03349723722549999	0.34103859830150013	-4.226954204000002e-06	-8.616336184142833e-06
-0.027879157081013337	-0.34813228668735	-0.0002504223288179666	-0.00035541443891690474
-0.012022116293233331	-0.1644402629775	-7.834782235875e-05	-0.000222757587411
0.008669826526999998	-0.014696665866999994	0.0004256836542966666	0.00018608507784190477
-0.0249463834234	-0.2846418339055	-7.935769728633333e-05	-0.00022072863958254757
-0.00013665223150000823	-0.5670170439737501	-0.0004544479509016666	-0.00032100258203738094
-0.020436618239499167	-0.25614977084222496	-7.289386789983332e-05	-0.00020739036677285713
0.007101203829916667	-1.3738146048000002	-0.002975578412399999	-0.0011564386302857141
6.132541966666443e-05	-0.30725250738724996	-0.00019161963951416672	-0.00013690152375261895
-0.019016826593397502	-0.23670269407279995	-7.395538874016666e-05	-0.00021178825463757142
-0.026426286618430002	-0.33159225769854994	-0.0002326373834319	-0.00032975268867357145
0.04180958548479998	0.5659430974542498	8.101193799533325e-05	-7.979412654285352e-06
-3.733322394116671e-05	-0.7235167991812499	-0.0006399065788916667	-0.00045163335907666657
0.05217017842575833	0.5038044467595001	-4.117315409499998e-06	-8.228893374380974e-06
-0.013345286691305334	-0.14459429060869997	-5.2705938697733324e-05	-0.00015378122693550473
-2.7652736705666625e-06	-0.9836750060939999	-0.0010410026739725	-0.0007341146354765476
-2.2697820003000176e-06	-0.9609816870485	-0.0010011611714816667	-0.0007059910896069046
-0.02158081208161	-0.26493363452325	7.337164392080011e-06	-0.00033357618295652377
-0.015582700643996666	-0.1944871663408	-9.790836255054998e-05	-7.123107157628569e-05
-0.024142445667488334	-0.29667591521785003	-0.00019763345029109996	-0.00027900492490280947
-3.977589147766664e-05	-0.8927624107047499	-0.0008888178654250001	-0.0006250176981326189
-0.02214307839683	-0.0015249966131750134	-7.5586200771e-05	-0.00021330279506423806
0.003677415029000001	-0.26076510518685	-7.442597633725e-05	-0.0002124961325980476
-0.029386163532866667	-0.361222661091	-0.0002623733300680666	-0.00037297070522709523
-1.1506979715066696e-05	-0.9752818936580001	-0.0010901366861466666	-0.0007580250807028571
0.033724823027950004	0.3413049134595	-4.237725052500002e-06	-8.432312869749991e-06
-0.037814946757666675	-0.46417882737925	-0.00019196688406586664	-0.0005464236714871429
0.0008546404480000014	-0.9199684822359999	-0.0009284892454908333	-0.0013332268945642858
0.0002149934313333337	-0.7286219427239999	-0.0006803019463841666	-0.0004796662357004762
0.0003101888559166666	-0.7549889768967499	-0.0007091029575116666	-0.0005046412672683335
0.0001889984954166675	-0.6208864503467499	-0.0005203680778466665	-0.0003693698068184523
-0.012215644534939998	-0.15804243862282502	-7.398121519133332e-05	-0.00021124058963880956
-0.017753979151386667	-0.19331546848060002	2.637095120086665e-05	-0.001094077293942857
-0.0003642022583333351	-0.3003404270935	-0.0001792922672941667	-0.00013089702306738095
-4.182877666033319e-05	-0.5362959791799999	-0.00041163228331750004	-0.0002897378572291667
-3.261318629908348e-06	-0.9494298633167501	-0.0009802593438391664	-0.000692481793932381
0.0002802167645833322	-0.34823076404825	-0.0002135702846591666	-0.0001568655396264286
-0.015450653942463333	-0.19562608061434997	-9.81367352379e-05	-7.093727301795236e-05
0.0008960382784166634	-0.2879907617	-0.00017264988497083333	-0.00012107621328190476
-0.030147176112833334	-0.3619772445358	-0.00026553390681910004	-0.00037678002117628567
0.00011119962233332973	-0.700906787415	-0.0006257369218575001	-0.000446121634905119
-0.02403634977983334	-0.296641017811825	-0.00019771776791226666	-0.00028041715029328567
-0.021521446401349998	-0.268351558130125	1.1863134171841624e-06	-0.00029614601934319036
-0.022199552617993334	-0.2800788980861	-0.0001829189468816	-0.00025796557380114286
-0.034739319063616665	-0.42546124651155	-0.00016785727587133333	-0.00047379974813285705
-0.02441271572044667	-0.3125899623105	-0.0001686791081758	-0.00024167008026257142
0.000986577909166669	-0.9093393061785	-0.0009296448209308334	-0.0006574155753378571
